MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Net_Profit,Win_Rate_%
69,14,1728.3832855206888,21349,4777,16572,1628.3832855206888,22.37575530469811
16,58,1728.3440861930226,16066,3634,12432,1628.3440861930226,22.61919581725383
24,82,1727.86954888009,12398,2555,9843,1627.86954888009,20.608162606872078
13,37,1727.8200005438107,20202,4660,15542,1627.8200005438107,23.06702306702307
12,75,1727.7701200180795,17584,4196,13388,1627.7701200180795,23.862602365787076
15,50,1727.4672202806123,17389,3919,13470,1627.4672202806123,22.537236183794356
29,48,1727.4041039940153,12627,2328,10299,1627.4041039940153,18.436683297695414
24,94,1726.7554256229141,11898,2555,9343,1626.7554256229141,21.474197344091444
46,67,1726.3252687170852,9200,1594,7606,1626.3252687170852,17.32608695652174
75,48,1726.0069789821796,8458,1411,7047,1626.0069789821796,16.682430834712697
61,77,1725.9721170136945,7426,1100,6326,1625.9721170136945,14.812819822246162
84,74,1725.9504324420896,5814,780,5034,1625.9504324420896,13.415892672858618
39,64,1725.5935154960566,10201,1856,8345,1625.5935154960566,18.19429467699245
80,68,1725.1826175776746,6361,913,5448,1625.1826175776746,14.353089136928157
56,63,1724.686444408449,6919,1003,5916,1624.686444408449,14.496314496314497
9,72,1724.137958131133,22483,5808,16675,1624.137958131133,25.832851487790776
32,15,1724.0798665738396,20629,4511,16118,1624.0798665738396,21.86727422560473
41,45,1723.6155110182667,8346,1279,7067,1623.6155110182667,15.324706446201775
70,29,1723.4853789230583,12716,2382,10334,1623.4853789230583,18.73230575652721
100,50,1723.3968600670041,8549,1432,7117,1623.3968600670041,16.750497134167738
81,76,1722.428355212447,5124,656,4468,1622.428355212447,12.802498048399688
99,52,1722.383461473791,8301,1372,6929,1622.383461473791,16.528129141067343
91,37,1722.1305946874954,10489,1911,8578,1622.1305946874954,18.219086662217563
50,15,1722.0064668070117,20573,4557,16016,1622.0064668070117,22.150391289554268
32,58,1721.59974125024,11573,2151,9422,1621.59974125024,18.5863648146548
55,74,1721.48945945067,8026,1267,6759,1621.48945945067,15.786194866683278
17,93,1721.072258182237,13657,3100,10557,1621.072258182237,22.69898220692685
12,33,1721.020363986764,21726,5054,16672,1621.020363986764,23.26245052011415
31,89,1720.577382057505,11105,2177,8928,1620.577382057505,19.60378208014408
60,62,1720.4894999753892,5461,736,4725,1620.4894999753892,13.477385094305072
63,60,1719.2987332453602,5705,788,4917,1619.2987332453602,13.812445223488169
42,70,1719.207328662926,9768,1793,7975,1619.207328662926,18.355855855855857
94,46,1718.3830869885096,9000,1519,7481,1618.3830869885096,16.877777777777776
76,42,1718.2081189257797,9395,1604,7791,1618.2081189257797,17.072911122937732
12,15,1716.745867056524,22614,5014,17600,1616.745867056524,22.172105775183514
17,99,1716.3966061184938,13300,3082,10218,1616.3966061184938,23.172932330827066
83,68,1715.292514683024,6459,924,5535,1615.292514683024,14.305620065025545
48,29,1714.9884141023629,12393,2234,10159,1614.9884141023629,18.02630517227467
68,14,1714.8749997777322,21391,4784,16607,1614.8749997777322,22.364545837034267
75,14,1713.6944997682199,21296,4778,16518,1613.6944997682199,22.436138241923366
86,13,1713.4643847048264,22151,5007,17144,1613.4643847048264,22.603945645794774
68,41,1713.3289023978346,9381,1617,7764,1613.3289023978346,17.236968340262234
23,33,1713.2198486906734,14719,2847,11872,1613.2198486906734,19.342346626808887
14,30,1711.6800669302356,20383,4577,15806,1611.6800669302356,22.45498699896973
94,68,1711.3367941247704,6739,1021,5718,1611.3367941247704,15.150615818370678
23,76,1710.7332103852104,12819,2682,10137,1610.7332103852104,20.922068804118886
95,46,1710.5858695635725,8986,1526,7460,1610.5858695635725,16.981971956376583
73,26,1710.2576150607565,13737,2597,11140,1610.2576150607565,18.90514668413773
12,81,1709.868382803062,17228,4093,13135,1609.868382803062,23.7578360807987
56,43,1709.7478604757134,8968,1427,7541,1609.7478604757134,15.912132024977698
24,93,1709.7416667329844,11933,2574,9359,1609.7416667329844,21.570434928349954
94,48,1709.703166611307,8681,1460,7221,1609.703166611307,16.818338901048264
44,42,1709.6665714268993,7460,1140,6320,1609.6665714268993,15.281501340482572
75,55,1709.3436907248745,7728,1207,6521,1609.3436907248745,15.618530020703933
86,70,1708.9170571366612,6468,925,5543,1608.9170571366612,14.301175015460728
16,55,1707.540363801218,16308,3656,12652,1607.540363801218,22.41844493500123
74,35,1707.2649427656374,10833,1889,8944,1607.2649427656374,17.43745961414197
50,66,1706.8487424297916,8553,1369,7184,1606.8487424297916,16.00607973810359
9,56,1706.34108928149,23844,6134,17710,1606.34108928149,25.72554940446234
37,47,1705.7161061782067,10203,1671,8532,1605.7161061782067,16.377536018817995
31,90,1705.5665778134044,11001,2147,8854,1605.5665778134044,19.516407599309154
49,74,1705.3319189169388,8860,1487,7373,1605.3319189169388,16.783295711060948
48,35,1705.2743430652808,10616,1777,8839,1605.2743430652808,16.738884702336097
36,54,1704.8611477621755,10698,1831,8867,1604.8611477621755,17.115348663301553
58,44,1704.7645454015765,8927,1415,7512,1604.7645454015765,15.850789738994061
45,42,1704.7263095840567,7811,1176,6635,1604.7263095840567,15.055690692612982
25,86,1704.069116515334,11978,2461,9517,1604.069116515334,20.5460010018367
66,76,1703.8475133362704,6519,901,5618,1603.8475133362704,13.821138211382115
33,57,1703.767947262905,11429,2056,9373,1603.767947262905,17.98932540029749
40,65,1703.7368923124118,10077,1793,8284,1603.7368923124118,17.792993946611094
40,33,1703.3242425726316,10737,1750,8987,1603.3242425726316,16.29877991990314
61,65,1702.2175538484414,5983,839,5144,1602.2175538484414,14.023065351830185
57,100,1701.9668499902923,7976,1400,6576,1601.9668499902923,17.552657973921765
15,87,1701.939597785818,14864,3419,11445,1601.939597785818,23.0018837459634
91,68,1701.5333823552446,6735,1019,5716,1601.5333823552446,15.129918337045286
77,80,1701.0738000106026,4874,599,4275,1601.0738000106026,12.28970045137464
30,48,1699.4160831874692,12372,2233,10139,1599.4160831874692,18.04881991593922
94,69,1699.260652218787,6675,1009,5666,1599.260652218787,15.116104868913856
78,25,1698.8533598319393,14140,2737,11403,1598.8533598319393,19.356435643564357
47,66,1698.3575605722663,9100,1528,7572,1598.3575605722663,16.791208791208792
78,71,1696.2923097875396,5666,779,4887,1596.2923097875396,13.748676314860573
92,36,1695.1468612855224,10753,1935,8818,1595.1468612855224,17.994978145633777
28,60,1694.7513832543427,12320,2440,9880,1594.7513832543427,19.805194805194805
14,14,1693.435000000675,17443,3689,13754,1593.435000000675,21.148884939517284
27,93,1693.1663225499728,11346,2318,9028,1593.1663225499728,20.43010752688172
53,40,1692.8947999986676,9424,1500,7924,1592.8947999986676,15.916808149405773
12,77,1692.6328961064764,17446,4125,13321,1592.6328961064764,23.64438839848676
60,77,1691.5959222393894,7549,1126,6423,1591.5959222393894,14.91588289839714
40,45,1689.5678665549763,8759,1343,7416,1589.5678665549763,15.332800548007764
83,67,1689.4884477337828,6565,963,5602,1589.4884477337828,14.668697638994669
14,46,1689.2338914856002,18369,4162,14207,1589.2338914856002,22.657738581305463
65,41,1689.192316966236,9459,1594,7865,1589.192316966236,16.85167565281742
33,72,1688.5968890539102,11064,2107,8957,1588.5968890539102,19.043745480838755
83,38,1688.1065261737194,10202,1831,8371,1588.1065261737194,17.94746128210155
74,37,1687.6170809728314,10370,1839,8531,1587.6170809728314,17.73384763741562
34,22,1687.548863869007,15318,3075,12243,1587.548863869007,20.074422248335292
65,73,1686.9778220248795,6302,888,5414,1586.9778220248795,14.09076483655982
43,34,1685.8364118416127,10755,1785,8970,1585.8364118416127,16.596931659693166
54,17,1685.5885885373625,18466,4061,14405,1585.5885885373625,21.991768655908157
51,69,1685.1972608388257,8446,1322,7124,1585.1972608388257,15.652379824769122
76,71,1684.920183041524,5403,743,4660,1584.920183041524,13.751619470664444
36,94,1683.4611275442412,10000,1920,8080,1583.4611275442412,19.2
83,43,1683.4012789987469,9254,1560,7694,1583.4012789987469,16.85757510265831
56,61,1682.980442667022,6568,926,5642,1582.980442667022,14.098660170523752
72,32,1679.9421872917267,11586,2110,9476,1579.9421872917267,18.211634731572587
62,58,1679.3054826997375,6099,873,5226,1579.3054826997375,14.313821938022627
64,71,1679.2542536541941,6287,918,5369,1579.2542536541941,14.601558772069351
58,57,1678.809649134507,5565,755,4810,1578.809649134507,13.566936208445643
15,35,1678.6991433926682,19041,4227,14814,1578.6991433926682,22.199464313849063
96,53,1678.550943354036,8178,1336,6842,1578.550943354036,16.336512594766447
85,72,1678.0194860568713,6137,869,5268,1578.0194860568713,14.160013035685187
12,64,1676.5142342631052,18311,4403,13908,1576.5142342631052,24.045655616842335
