time,open,high,low,close,tick_volume,spread
2026-01-13 19:00:00,4594.239,4599.02,4584.153,4597.503,18994,0
2026-01-13 20:00:00,4597.539,4597.876,4569.234,4586.045,23633,0
2026-01-13 21:00:00,4586.098,4589.919,4582.708,4586.552,8472,0
2026-01-13 23:00:00,4590.721,4598.857,4590.682,4597.136,6958,0
2026-01-14 00:00:00,4597.181,4610.741,4597.11,4609.153,12126,0
2026-01-14 01:00:00,4609.191,4619.966,4606.187,4619.16,22314,0
2026-01-14 02:00:00,4619.143,4623.618,4614.334,4620.633,17018,0
2026-01-14 03:00:00,4620.571,4630.088,4613.52,4628.238,13328,0
2026-01-14 04:00:00,4628.316,4630.562,4625.259,4629.468,9523,0
2026-01-14 05:00:00,4629.495,4639.887,4617.789,4619.823,23742,0
2026-01-14 06:00:00,4619.766,4637.223,4618.538,4637.223,21998,0
2026-01-14 07:00:00,4637.253,4639.584,4631.374,4632.634,11964,0
2026-01-14 08:00:00,4632.562,4637.912,4621.938,4634.917,16850,0
2026-01-14 09:00:00,4634.864,4639.668,4627.052,4630.422,11563,0
2026-01-14 10:00:00,4630.391,4638.19,4627.787,4633.025,10753,0
2026-01-14 11:00:00,4632.98,4637.518,4625.93,4630.328,11475,0
2026-01-14 12:00:00,4630.34,4641.989,4630.177,4638.782,14209,0
2026-01-14 13:00:00,4638.815,4641.783,4624.312,4635.839,30070,0
2026-01-14 14:00:00,4635.872,4638.794,4606.671,4617.582,40415,0
2026-01-14 15:00:00,4617.552,4626.505,4599.335,4617.855,40395,0
2026-01-14 16:00:00,4617.892,4624.844,4608.501,4616.995,26784,0
2026-01-14 17:00:00,4617.041,4619.189,4601.076,4614.239,27551,0
2026-01-14 18:00:00,4614.214,4637.171,4612.745,4635.077,20004,0
2026-01-14 19:00:00,4635.107,4643.164,4633.272,4639.223,18543,0
2026-01-14 20:00:00,4639.221,4641.566,4625.598,4632.498,29365,0
2026-01-14 21:00:00,4632.551,4633.061,4617.901,4626.038,12422,0
2026-01-14 23:00:00,4626.61,4626.949,4602.84,4615.294,15303,0
2026-01-15 00:00:00,4615.256,4618.187,4610.121,4615.335,12438,0
2026-01-15 01:00:00,4615.282,4617.412,4583.613,4600.055,42943,0
2026-01-15 02:00:00,4599.944,4614.714,4595.584,4602.831,24827,0
2026-01-15 03:00:00,4602.87,4604.388,4581.069,4592.282,27758,0
2026-01-15 04:00:00,4592.258,4597.489,4587.018,4592.233,15159,0
2026-01-15 05:00:00,4592.274,4599.006,4580.995,4595.213,20795,0
2026-01-15 06:00:00,4595.257,4612.104,4593.665,4610.261,20245,0
2026-01-15 07:00:00,4610.216,4613.611,4599.191,4601.818,13058,0
2026-01-15 08:00:00,4601.775,4607.15,4597.807,4604.308,14639,0
2026-01-15 09:00:00,4604.245,4613.071,4600.656,4612.605,11327,0
2026-01-15 10:00:00,4612.576,4620.643,4609.297,4619.803,10641,0
2026-01-15 11:00:00,4619.84,4623.032,4615.404,4619.132,10898,0
2026-01-15 12:00:00,4619.184,4620.792,4611.726,4613.952,11446,0
2026-01-15 13:00:00,4613.888,4616.137,4582.0,4588.413,34780,0
2026-01-15 14:00:00,4588.437,4615.181,4583.25,4610.958,40615,0
2026-01-15 15:00:00,4611.005,4618.093,4603.867,4615.473,28708,0
2026-01-15 16:00:00,4615.438,4624.902,4601.162,4605.624,25451,0
2026-01-15 17:00:00,4605.699,4616.995,4605.643,4616.439,14074,0
2026-01-15 18:00:00,4616.497,4621.292,4613.569,4617.591,15868,0
2026-01-15 19:00:00,4617.621,4621.733,4612.627,4615.794,10625,0
2026-01-15 20:00:00,4615.908,4616.308,4600.756,4605.761,18855,0
2026-01-15 21:00:00,4605.733,4616.456,4604.438,4615.67,6749,0
2026-01-15 23:00:00,4618.11,4620.994,4606.451,4610.284,9848,0
2026-01-16 00:00:00,4610.243,4611.358,4598.533,4600.026,12308,0
2026-01-16 01:00:00,4599.942,4608.553,4593.942,4600.504,22376,0
2026-01-16 02:00:00,4600.477,4604.241,4591.237,4594.891,21686,0
2026-01-16 03:00:00,4594.918,4599.694,4592.794,4596.491,10813,0
2026-01-16 04:00:00,4596.353,4602.017,4596.116,4601.087,6200,0
2026-01-16 05:00:00,4601.205,4616.198,4595.252,4611.542,12204,0
2026-01-16 06:00:00,4611.614,4612.336,4593.851,4597.967,18127,0
2026-01-16 07:00:00,4598.052,4612.02,4596.85,4607.513,14688,0
2026-01-16 08:00:00,4607.466,4610.688,4601.344,4603.185,11356,0
2026-01-16 09:00:00,4603.149,4608.488,4598.843,4600.449,8263,0
2026-01-16 10:00:00,4600.493,4611.17,4599.801,4600.216,9205,0
2026-01-16 11:00:00,4600.25,4616.152,4598.593,4612.471,10445,0
2026-01-16 12:00:00,4612.51,4613.013,4597.418,4601.755,12483,0
2026-01-16 13:00:00,4601.792,4605.596,4582.677,4601.89,33599,0
2026-01-16 14:00:00,4601.909,4614.823,4596.14,4607.981,29314,0
2026-01-16 15:00:00,4607.952,4620.563,4536.729,4571.398,75182,0
2026-01-16 16:00:00,4571.351,4599.058,4567.96,4591.494,44034,0
2026-01-16 17:00:00,4591.506,4593.088,4576.85,4581.46,23433,0
2026-01-16 18:00:00,4581.416,4596.056,4580.011,4582.656,20368,0
2026-01-16 19:00:00,4582.63,4592.464,4580.803,4590.572,14872,0
2026-01-16 20:00:00,4590.587,4596.046,4580.874,4581.986,14304,0
2026-01-16 21:00:00,4581.955,4598.544,4581.955,4596.588,11902,0
2026-01-18 23:00:00,4655.358,4690.7,4653.824,4672.573,25469,0
2026-01-19 00:00:00,4672.63,4682.114,4660.973,4675.351,23759,0
2026-01-19 01:00:00,4675.381,4678.351,4656.212,4657.369,37622,0
2026-01-19 02:00:00,4657.324,4665.073,4653.138,4662.391,20359,0
2026-01-19 03:00:00,4662.416,4669.902,4658.216,4658.521,13902,0
2026-01-19 04:00:00,4658.556,4666.043,4658.134,4663.069,8909,0
2026-01-19 05:00:00,4663.058,4674.307,4662.959,4669.968,11674,0
2026-01-19 06:00:00,4669.955,4679.037,4666.767,4678.008,11088,0
2026-01-19 07:00:00,4677.902,4678.529,4661.873,4665.186,13144,0
2026-01-19 08:00:00,4665.14,4673.846,4661.683,4663.672,12780,0
2026-01-19 09:00:00,4663.636,4672.921,4661.902,4668.423,9755,0
2026-01-19 10:00:00,4668.355,4671.257,4661.28,4663.821,8858,0
2026-01-19 11:00:00,4663.803,4667.569,4659.587,4660.705,10132,0
2026-01-19 12:00:00,4660.676,4673.744,4660.078,4671.958,10248,0
