MA_Fast,MA_Slow,Final_Balance,Total_Trades,Win_Trades,Loss_Trades,Net_Profit,Win_Rate_%
90,23,4678.727173901128,1381,285,1096,4578.727173901128,20.637219406227373
50,26,4678.5420384608815,1325,237,1088,4578.5420384608815,17.88679245283019
41,24,4677.48362499753,1375,254,1121,4577.48362499753,18.472727272727273
48,55,4676.796109091138,746,119,627,4576.796109091138,15.951742627345844
74,23,4676.491217379371,1378,274,1104,4576.491217379371,19.88388969521045
56,22,4675.086590904179,1408,289,1119,4575.086590904179,20.525568181818183
72,20,4674.978399997906,1478,304,1174,4574.978399997906,20.56833558863329
23,22,4674.629272726024,1194,220,974,4574.629272726024,18.425460636515915
88,48,4671.653395833355,819,137,682,4571.653395833355,16.727716727716725
32,14,4671.556357141981,1975,400,1575,4571.556357141981,20.253164556962027
39,20,4669.684400000629,1499,301,1198,4569.684400000629,20.08005336891261
38,24,4666.653874996068,1372,247,1125,4566.653874996068,18.002915451895042
40,14,4665.90207143832,1968,398,1570,4565.90207143832,20.223577235772357
39,19,4665.126894738074,1547,323,1224,4565.126894738074,20.87912087912088
87,25,4664.910399989331,1395,262,1133,4564.910399989331,18.781362007168457
71,20,4664.849399996316,1491,305,1186,4564.849399996316,20.4560697518444
5,41,4664.773219501376,3838,1042,2796,4564.773219501376,27.149557060969254
86,18,4664.560833326267,1573,325,1248,4564.560833326267,20.66115702479339
5,68,4664.312926465129,3520,985,2535,4564.312926465129,27.982954545454547
50,49,4663.1683673460175,587,88,499,4563.1683673460175,14.991482112436117
23,49,4662.3383877649885,1416,299,1117,4562.3383877649885,21.11581920903955
95,50,4662.264419996953,736,134,602,4562.264419996953,18.206521739130434
61,20,4660.61729999514,1478,291,1187,4560.61729999514,19.688768606224627
99,50,4660.247279998968,737,137,600,4560.247279998968,18.588873812754407
57,48,4657.517000001801,766,119,647,4557.517000001801,15.535248041775457
5,73,4657.470739717911,3506,978,2528,4557.470739717911,27.89503707929264
98,49,4657.129897958496,758,133,625,4557.129897958496,17.54617414248021
11,65,4656.798215382013,1926,455,1471,4556.798215382013,23.624091381100726
